"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/dashboard_repository/dashboard_repository.dart", "Dart", 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, -3, -18, -123
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/history_repository/history_repository.dart", "Dart", 0, 0, 0, -283, 0, 0, 0, 0, 0, 0, -8, -39, -330
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/real_time_alarm_repository/real_time_alarm_repository.dart", "Dart", 0, 0, 0, -126, 0, 0, 0, 0, 0, 0, -1, -18, -145
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/root_repository/device_repository.dart", "Dart", 0, 0, 0, -538, 0, 0, 0, 0, 0, 0, -27, -104, -669
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/root_repository/root_repository.dart", "Dart", 0, 0, 0, -666, 0, 0, 0, 0, 0, 0, -46, -107, -819
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/system_log_repository/system_log_repository.dart", "Dart", 0, 0, 0, -275, 0, 0, 0, 0, 0, 0, -6, -31, -312
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/user.dart", "Dart", 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, -2, -25, -148
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/user.g.dart", "Dart", 0, 0, 0, -130, 0, 0, 0, 0, 0, 0, -4, -13, -147
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/repository/user_api.dart", "Dart", 0, 0, 0, -256, 0, 0, 0, 0, 0, 0, -17, -37, -310
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device/device_bloc.dart", "Dart", 0, 0, 0, -256, 0, 0, 0, 0, 0, 0, -10, -30, -296
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device/device_event.dart", "Dart", 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -1, -15, -52
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device/device_state.dart", "Dart", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -5, -60
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device_history/device_history_bloc.dart", "Dart", 0, 0, 0, -137, 0, 0, 0, 0, 0, 0, -10, -20, -167
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device_history/device_history_event.dart", "Dart", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -13, -43
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/device_history/device_history_state.dart", "Dart", 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, -5, -54
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_device/edit_device_bloc.dart", "Dart", 0, 0, 0, -267, 0, 0, 0, 0, 0, 0, -10, -24, -301
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_device/edit_device_event.dart", "Dart", 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, -20, -76
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_device/edit_device_state.dart", "Dart", 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, 0, -5, -83
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_group/edit_group_bloc.dart", "Dart", 0, 0, 0, -151, 0, 0, 0, 0, 0, 0, -5, -16, -172
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_group/edit_group_event.dart", "Dart", 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -11, -40
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/edit_group/edit_group_state.dart", "Dart", 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -5, -58
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/form_status.dart", "Dart", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -12, -16, -53
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/monitoring_chart/monitoring_chart_bloc.dart", "Dart", 0, 0, 0, -308, 0, 0, 0, 0, 0, 0, -16, -48, -372
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/monitoring_chart/monitoring_chart_event.dart", "Dart", 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, -29, -114
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/monitoring_chart/monitoring_chart_state.dart", "Dart", 0, 0, 0, -99, 0, 0, 0, 0, 0, 0, 0, -5, -104
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/root/root_bloc.dart", "Dart", 0, 0, 0, -520, 0, 0, 0, 0, 0, 0, -56, -55, -631
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/root/root_event.dart", "Dart", 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, -23, -72
